,company--title,skill
0,Remitly--Senior Software Engineer,AWS
0,Remitly--Senior Software Engineer,Java
0,Remitly--Senior Software Engineer,Kotlin
0,Remitly--Senior Software Engineer,C#
0,Remitly--Senior Software Engineer,SQL
0,Remitly--Senior Software Engineer,MySQL
0,Remitly--Senior Software Engineer,PostgreSQL
0,Remitly--Senior Software Engineer,SQL Server
0,Remitly--Senior Software Engineer,Big data
1,DRADURA Polska Sp. z o.o.--Automatyk w Dziale Utrzymania Ruchu,
2,Find Group--Sales Specialist - branża HR/IT,
3,ArchiDoc S.A.--Pracownik kancelarii banku,
4,EPAM--Senior DevOps Engineer,Google cloud
5,Medpace--Junior Fullstack .NET Developer,.NET
5,Medpace--Junior Fullstack .NET Developer,Angular
5,Medpace--Junior Fullstack .NET Developer,Azure
5,Medpace--Junior Fullstack .NET Developer,Entity Framework
5,Medpace--Junior Fullstack .NET Developer,MS SQL
5,Medpace--Junior Fullstack .NET Developer,Git
5,Medpace--Junior Fullstack .NET Developer,TypeScript
5,Medpace--Junior Fullstack .NET Developer,Polish
6,HRO Digital--Samodzielna Księgowa,
7,Enxoo--Quality Assurance Engineer,JIRA
7,Enxoo--Quality Assurance Engineer,REST
7,Enxoo--Quality Assurance Engineer,Postman
7,Enxoo--Quality Assurance Engineer,API
7,Enxoo--Quality Assurance Engineer,Salesforce
8,Kyotu Technology--Senior Java Software Engineer,K8s
8,Kyotu Technology--Senior Java Software Engineer,Blockchain
9,Simon - Kucher Core Business Services--Remote IT Security Expert,
10,pTAG--Analityk biznesowo-systemowy,SQL
10,pTAG--Analityk biznesowo-systemowy,English
11,Keepit--C++ Developer,
12,Orange Polska--Cybersecurity Expert,Bastion Wallix
12,Orange Polska--Cybersecurity Expert,CI/CD
12,Orange Polska--Cybersecurity Expert,Linux Administration
12,Orange Polska--Cybersecurity Expert,Python
12,Orange Polska--Cybersecurity Expert,GCP
12,Orange Polska--Cybersecurity Expert,Azure
12,Orange Polska--Cybersecurity Expert,AWS Security
13,Pentacomp Systemy Informatyczne S.A.--Business Development Manager (Outsourcing IT),English
14,Lagarta Sp. z o.o.--Młodszy Specjalista ds. obsługi klienta B2B,English
15,Avenga--Senior Data Engineer,Data structures
15,Avenga--Senior Data Engineer,Data visualization
15,Avenga--Senior Data Engineer,Tableau
15,Avenga--Senior Data Engineer,Data engineering
15,Avenga--Senior Data Engineer,Machine Learning
15,Avenga--Senior Data Engineer,Power BI
